,count,hate_speech,offensive_language,neither,class,tweet
2360,,,,,neither,"Pizza Delivery Driver Shot In Parking Lot - Oklahoma City News Story - KOCO Oklahoma City Teen Found Guilty in Murder of Pizza Delivery Driver - News9.com - Oklahoma City , OK - News , Weather , Video and Sports |"
2361,,,,,neither,"Man accused of triple murder in Hoffman Estates denied bond `` But at 1 : 30 a.m. Friday , Howard allegedly went to the home and a quarrel ensued ."
2362,,,,,neither,"He allegedly grabbed a knife from the home s kitchen and ended up stabbing Engelhardt s father , Alan , 57 , and maternal grandmother , Marlene Gacek , 73 ."
2363,,,,,neither,"Both of them died at the scene , authorities said . `` http://www.suntimes.com/news/24-7/15 ... 041809.article By their names obvisously white ."
2364,,,,,hate_speech,"A federal judge in New York closed a filthy jew kosher slaughterhouse Tuesday , saying the plant 's dirty birds posed a health risk to the community ."
2365,,,,,neither,New Square Meats allegedly sold nearly 2 million uninspected birds to unsuspecting customers . Source
2366,,,,,hate_speech,Homo neanderthalensis was just a dumb negro subspecies of the negroid species and never white-european .
2367,,,,,neither,Scientists portray neanderthals as whites because they 're politically correct and scientifically incorrect .
2368,,,,,neither,"Young white people are doing it more then ever , it 's just that those bloody clinics are getting better at what they do ."
2369,,,,,neither,"The jew Alan Fishman , 49 , of Brooklyn , NY , was arrested along with the jew Daniel Ledven , 37 , of Cresskill , N.J. , on securities and wire fraud charges in a scheme that swindled investors out of $ 20 million ."
2370,,,,,neither,"A third defendant , the jew Gary Gelman , 39 , of Brooklyn , remains on the loose ."
2371,,,,,neither,Source
2372,,,,,neither,I dont get why having 3 kids is such a burden for white people .
2373,,,,,neither,Its only 1 extra kid than we normally have and if we all do it and tell are white neighbors to do it I know it would make a difference .
2374,,,,,neither,All of these victims can be found here on STORMFRONT .
2375,,,,,hate_speech,"Their stories have been told before , so instead of showing the pics of the non WHITE garbage that took from them , I am just going to post their pics so they will not be forgotten ."
2376,,,,,neither,I will say I love God as much as I like .
2377,,,,,neither,"That is not against the rules , to discuss theology IS ."
2378,,,,,neither,Get it right .
2379,,,,,neither,Yeah I saw that one on TV about the jew rabbi that was trying to get some from the 14 year old girl .
2380,,,,,neither,Go figure .
2381,,,,,neither,Absolutely.
2382,,,,,neither,Sometimes pictures are worth a thousand words .
2383,,,,,neither,And this was one was specifically designed to impart the message that minorities are the new acceptable future of America and that White people will be pushed to the back .
2384,,,,,neither,Blue Bell ice cream has one showing five kids one black playing in the fields and barn .
2385,,,,,neither,Then the Mother rings the dinner bell on the porch .
2386,,,,,neither,"Next the beautiful blonde white mother , grandmother , the 5 kids and an adult black male are sitting around the picnic table ."
2387,,,,,neither,That is just about as disgusting an advertisement as I have ever seen before and in fact the most disgusting thing I have seen ever .
2388,,,,,neither,We need to figure out how to make these products on a small scale for the White Nationalist community so we are not stuck buying from anti-White companies .
2389,,,,,neither,[IMAGE: Melvin Weiss .
2390,,,,,neither,Put 's Shakespeare 's Shylock to shame ... if Mr. Weiss had whiskers he would be indistinguishable from a rat. ]
2391,,,,,neither,Is this the one who broke out of six different concentration camps as a child and swam 200 miles upstream in the icy Danube River ?
2392,,,,,neither,I include myself in those who need to grow a set of balls .
2393,,,,,hate_speech,I 'm angry against myself for just letting this whole world drown into a jewish cesspool .
2394,,,,,neither,i know some may disagree with me but this man is one of my hero 's we need some guys like this over here now
2395,,,,,neither,"Wow she is beautiful and a WN , I like her seig heil salute we need more women like this , she is very beautiful indeed ."
2396,,,,,neither,"Comparing these pictures to pictures with serbs I do n't see much difference between them and albanians , the same Dinaric and Mediterranean subtypes ."
2397,,,,,neither,At the end of the day news such as this is what truly counts - not the ignorant and twisted opinions of street punks .
2398,,,,,neither,i will try to post accurate pictures of those people who have familiar faces among our nation and stop posting a female and male photo models .
2399,,,,,neither,It 's an unfair representation of a nation Some random bulgarians [ IMG ] http://photos-b.ak.fbcdn.net/hphotos-ak-snc3/hs477.snc3/26143_100549093315633_100000816283788_13289_6985315_n.jpg [ /IMG ]
2400,,,,,neither,I was reading a news Paper Today and there was a Picture On the Front Page Russian Youth causing the Destruction while Kyrgiz are staring at them
2401,,,,,neither,Looks like quite a few of them picked up a lot of Aryan genes .
2402,,,,,hate_speech,"They 're probably as high-maintenance as one of those crappy old East German Trabants , though ."
2403,,,,,neither,Aragorn
2404,,,,,neither,This is a struggle you will have to make your self .
2405,,,,,neither,Pride of race or government .
2406,,,,,hate_speech,No the truth 88-----WHITE POWER------WHITE VICTORY------WHITE PRIDE-----88
2407,,,,,neither,Can someone tell Me when I can find any mp3 of CEBEPHIbE BPATA ?
2408,,,,,neither,I 've heard five their songs and they are My favorites from Russian White Power music .
2409,,,,,neither,14 !
2410,,,,,neither,Msciwoj
2411,,,,,neither,"White, 73-year-old woman , beating victim attends suspects ' court hearings by Joel Allen Posted : 05.11.2010 at 8 : 43 PM A 73-year-old Loris woman who was severely beaten last week showed up at separate court hearings Tuesday for the two boys accused of assaulting her ."
2412,,,,,neither,The two teenagers are charged with assaulting Rose Powell last Wednesday and stealing her car .
2413,,,,,neither,"As a result of the hearings , both boys will remain in jail for the time being ."
2414,,,,,neither,"And if Rose Powell has anything to do with it , they 'll stay there for a long time ."
2415,,,,,neither,"At 17 years old , Travis Jones has been in front of a judge a few times before ."
2416,,,,,neither,"Just last month , in fact , he was charged with criminal domestic violence ."
2417,,,,,neither,"This time , the charges are assault and battery of a high and aggravated nature and strong armed robbery in connection with the assault on Rose Powell. ( more ... )"
2418,,,,,neither,"If you look on http://www.audiogalaxy.com and type in the name of the artist in Latin characters you can find a lot of songs , especially by the more popular musicians ."
2421,,,,,neither,"Though i am from younger generations , these are my father words ."
2422,,,,,neither,"Marte Williams , 41 , was taken into custody Sunday after authorities said he was caught trespassing at Paulus Hook Towers , the apartment complex where the bodies of 27-year-old Jacqueline Reyes and her 9-month-old son Ivan Reyes Jr. were found Tuesday morning ."
2423,,,,,neither,"http://www.wpix.com/news/wpix-jersey ... , 5347881.story = = = = = Police arrested two men on suspicion of stealing more than $ 50,000 worth of property from an Avondale home Tuesday afternoon , thanks in part to attentive neighbors ."
2424,,,,,neither,"Anthony DeShawn Washington , 18 , of Avondale , and Jonathan Anthony Gutierrez , 18 , of Tolleson , were booked on felony counts of burglary , theft of a means of transportation and criminal trespassing , Avondale police said ."
2425,,,,,neither,"http://www.azcentral.com/news/articl...glary1219.html = = = = = = = = = = = = About 10 p.m. Dec. 9 , police were called to Ed 's Fish and Chips , 306 N. Central Ave. , for a reported armed robbery , police said ."
2426,,,,,neither,"Two employees and one customer told police two men , brandishing a long-barrel rifle , stole the cash drawer with an undisclosed amount of money and fled on foot ."
2427,,,,,neither,http://www.azcentral.com/news/articl...bbery1219.html
2428,,,,,neither,I went to buy some new socks today and a couple of t-shirts .
2429,,,,,neither,Not a single picture on any of them had a white male .
2430,,,,,hate_speech,"Blacks and mexicans were represented thoroughly. do yourselves a favor , shoot your t.v. !"
2431,,,,,neither,My google skills have failed me .
2432,,,,,neither,The only references that I 've found that appear to contain the information you seek seem to require some form of payment .
2433,,,,,neither,That is because Lycurgus has been on moderation forever and should be let off .
2434,,,,,neither,Just like this thread should be stickied .
2435,,,,,neither,It seems odd that alot of times there 's such a black and white concept for people pertaining to the will of man .
2436,,,,,neither,Either it was straight out the ass of god himself and divine or meaningless and devoid of all reason .
2437,,,,,neither,Is n't there some middle ground ?
2438,,,,,neither,Since I will be posting with the default text in the future you no longer have any reason to hate me .
2439,,,,,neither,"I think Fyrdung is a band which was started by members of the bands Svitjod , Pluton Svea and Division S , but I 'm not sure"
2440,,,,,hate_speech,Living expenses in Stockholm are very high and some poor Swedes and other Whites have no choice but to live in non-white suburbs .
2441,,,,,hate_speech,The reason for the high living expenses is of course the influx of hundreds of thousands of non-whites to the city .
2442,,,,,neither,No.
2443,,,,,neither,At least not as far as I can tell .
2444,,,,,hate_speech,I live in Oslo and race-mixing is a huge problem .
2445,,,,,neither,Sad but true .
2446,,,,,neither,"Our smart liberals say that we need thousands of `` high-quality '' non-european immigrants per year , but for what ?"
2447,,,,,neither,The downfall has begun ...
2448,,,,,neither,I shall not waste a single more moment of my time to converse with you .
2449,,,,,neither,Enough is enough .
2450,,,,,neither,"Kiss uncle Samael for me , will you ?"
2451,,,,,neither,"Mr.Ollsson,has it occurred to you that the only reason the nordic women you are so fond of are so attractive is because their fathers were smarter than yours.Think about it !"
2452,,,,,neither,Miss South Africa is not White .
2453,,,,,neither,She looks arabic if anything .
2454,,,,,neither,I then checked Miss Portugal .
2455,,,,,neither,She is classic meditteranean White .
2456,,,,,neither,Miss Germany looks southern too .
2457,,,,,hate_speech,"And now Sweden 's down against the nig nogs ... well at least it was very close , and they only lost in overtime ..."
2458,,,,,neither,Aragorn
2459,,,,,neither,You should have heard of him becouse he is the greatest chess player of all times .
2460,,,,,neither,He far excelled Anatoly Karpov and Garry Kasparov .
2461,,,,,neither,To which one should reply that they are a bunch of soft bellied women of whom their ancestors would be ashamed .
2462,,,,,neither,"I give myself 20-30 years to make people see , I think I 'll go into politics here in Iceland and do some good"
2463,,,,,neither,"All of his posts thus far have been rather gratuitous and heavily aimed on Skandinavia alenth with the histories and spirits thereof , particularly the later portion of post #31 ."
2464,,,,,neither,"Maybe some of you people should grow up , You don`t pick a man or woman for your mate because of the color of their eyes and hair ."
2465,,,,,neither,Their is much more to that if your hoping for a successful relationship and marriage .
2466,,,,,neither,"I think character and social behavior are the most important , and having blond hair and blue eyes are not going to gaurantee these qualities ."
2467,,,,,neither,I can sincerely tell you that I am certain he was a beautiful man and I love names of honour and those which hold origo within our folklore . ... for him .
2468,,,,,neither,I have made it clear on this forum many times that I have nothing against gays as such .
2469,,,,,hate_speech,"But as for them adopting kids , the answer is NO ."
2470,,,,,neither,"I find that surprising , since Finland after all once conquered Sweden , and ockupied it for several hundred years ."
2471,,,,,neither,"Oh wait , that never happened ..."
2472,,,,,neither,I think they are just desperately trying to be more popish than the Pope himself and avoid accusations of racism before they are even expressed by demanding increased immigration .
2473,,,,,neither,"I've only seen four Jews in my whole life , and those Jews were on the Silja Europa ship , going to Stockholm ."
2474,,,,,neither,26155
2475,,,,,neither,More ethnic crime .
2476,,,,,hate_speech,Ethnic crime never ends it seems .
2477,,,,,neither,I am thinking to create a thread dedicated to crimes commited by immigrants .
2478,,,,,neither,"Well that 's your misery I hope this will help : 1 m = 100 cm 1000 mm 1 "" = 25,40 mm = 2,54 cm = 0,0254 m 1 ' = 304,48 mm = 30,48 cm = 0,3048 m 1 ' = 12 `` Then ... start calculating"
2479,,,,,neither,thanks for the tip rock does not really macth My taste but I 'll go check it out anyway who knows
2480,,,,,neither,"NOR: Immortal , Gorgoroth , Ancient , Emperor , Einherjer , Thorns SWE : Naglfar , Bathory , Setherial , Dawn , In Aeternum , Sacramentum FIN : Impaled Nazarene , Argath , Demon Child never liked Darkthrone or Burzum ( interesting story there .."
2481,,,,,neither,`` Nargaroth - The Day Burzum Killed Mayhem '' heheh ) either though * shrug * Scandinavia really is a black metal heaven but there 're many great bands on the outside which too are a Pride of their countries 11
2482,,,,,neither,Get out of here !
2483,,,,,neither,You 're telling me that there 's something we Swedes have done right ?
2484,,,,,neither,I refuse to believe it !
2485,,,,,neither,"Not just that , but many people who adopt kids are capable of making their own pure white children ."
2486,,,,,neither,"It 's more fun that way , too ."
2487,,,,,neither,Aragorn
2488,,,,,neither,"More likely they 're afraid of having to marry and deal with a snotty GI-Jane-dyke , only to be dragged into court and have the kids and house taken a few years later ."
2489,,,,,hate_speech,Its only a matter of time until we become a hell hole like Sweden or the UK .
2490,,,,,hate_speech,I would hate to live in Dublin with all the foreigners there now .
2491,,,,,hate_speech,"My wife 's favorite place in Ireland is in the Kingdom , Cloghane Village , and O' Connor 's pub. I hope that place has n't been invaded ."
2492,,,,,neither,God Bless
2493,,,,,hate_speech,Can i suggest some of the locals get up of their behinds and lets these traitors know that this anti-white festival is not welcome in their town 828
2494,,,,,neither,there's no need for me to say anything ... all is said in the image of thaat old white guy in the end of one of the first videos .
2495,,,,,hate_speech,Not good news at all but this happens in all European nations and is no doubt pushed by the likes of Jews like Summer Redstone and MTV !!
2496,,,,,neither,Listening to Matt Coper this evening tried to do some digging around on the above story and this is all I could find `` More PC Rubbish '' http://www.veritas.ie/App_User_Files...rticle%201.jpg
2497,,,,,hate_speech,So according to your logic since blacks have been in N.America for hundreds of yrs they should be allowed to stay ? and yes whites should leave africa .
2498,,,,,neither,How are you a White Nationalist when you support the foreign occupation of a white country ?
2499,,,,,neither,The reason they want to ban the cross is because it repersents our race and the Christian faith .
2500,,,,,neither,We should all know by now who hates Christains more than anyone else .
2501,,,,,neither,God Bless
2502,,,,,hate_speech,"We have to encourage people to boycott all black businesses , start rumours that blacks working in shops have AIDs which is probably true ."
2503,,,,,hate_speech,Africans in Ireland should be treated like paedophiles .
2504,,,,,neither,We need immigrants.Reality is kicking in for a lot of people who were all for immigration.The Blacks put up in hotels and Irish on the dole.Story here www.independent.ie
2505,,,,,hate_speech,"The red scum will never wake up , ignorant lefties fight for `` their class '' when their making a mockery of their culture and heritage . commie scum .."
2506,,,,,hate_speech,that is absolutely * * * * ing unbelievable.they can just go route one now.no more messing about going through europe.in bongo land one minute jump on the plane and 5 hours later hop off the plane with the biggest negro smile and shout ASYLUM.i am totally depressed hearing this
2507,,,,,hate_speech,"Tralee is a disgrace , the place looks like a town in africa nowThe day Ireland becomes a muslim country is the day i stop breathing !"
2508,,,,,neither,This Islamisation is going on all over Europe. but we can object .
2509,,,,,hate_speech,"YouTube - Brussels on 9/11 : For a free Europe , against Islamization"
2510,,,,,neither,Some kid knocking on a blacks door and running away.Look donkeys fords chipie across the road the internet cafe run by black overeactcted.Attacked the Limerick kid all at least 20 of them.Kid arrived out later with his at least 30 friends.The owner of internet cafe says to the white youth i have white blood.One roars back the only thing white about you is your teeth .
2511,,,,,neither,Agreed.
2512,,,,,neither,"To learn more , click here : www.jonasridgeway.com/tech2.html www.spiritual.com.au/astral.html www.astralweb.org www.near-death.com/experiences/cayce01.html www.astralvoyage.com/projection/index.html It would be pretty cool for teachers to tell White kids they go out-of-body every night ."
2513,,,,,neither,Nice .
2514,,,,,neither,Heard today from a colleague in work that a load of Roma Gypsies set up camp at the red cow as the government would not house them anyone see or here of this ?
2515,,,,,neither,BULL****!
2516,,,,,hate_speech,Even if they do stop pouring in most of those that are here have no intention of going back to poland .
2517,,,,,neither,Is there any country that I can move to where there are no blacks or Asians ?
2518,,,,,neither,I suppose this is an unrealistic question because they are every where but where is the whitest place on earth that I can move to .
2519,,,,,neither,And please do n't say the north pole !
2520,,,,,hate_speech,The worst thing about the present immigration is that it 's spread all over the country .
2521,,,,,neither,I 'd prefer to put them in one place before shipping them home .
2522,,,,,hate_speech,"I disagree you can never justify race mixing Some of them girls may have been brainwashed by media , also you are condemning their kids and furture generations of kids to a non white future ."
2523,,,,,hate_speech,"Glad it made news your way the truth must be told but have you noticed it says it is not a racist attack , Oh but we all know the story shall it of been some poor black bastard bashed to near death in Dublin eh"
2524,,,,,neither,"In certain circumstances I would agree with you but in Europe by preserving our nations we are preserving our race as well because there is no way a black in Europe can be British , Irish , German or whatever ."
2525,,,,,neither,I'm sure I heard that many Catholic churches in Ireland are experiencing large numbers again thanks to the growing Polish populations .
2526,,,,,neither,Will you please go to this link and sign the petition in support of the right of Russian Nationalist to march .
2527,,,,,neither,Thank you .
2528,,,,,neither,88 !
2529,,,,,neither,http://www.righttomarch.com/
2530,,,,,neither,You picked a poor time to start such a thread seeing as how just this week the IRA were categorically cleared of all paramilitary/terrorist/illegal activity .
2531,,,,,neither,The are quite frankly nothing now .
2532,,,,,neither,"Something similar is happening in Belgium at the moment , but on a larger scale ."
2533,,,,,neither,Is n't the EU wonderful ?
2534,,,,,neither,http://www.nationalvanguard.org/story.php ? id = 8958
2535,,,,,neither,I think Cork fans still use it anyway .
2536,,,,,neither,Sure seen a few Munster fans with it too last weekend .
2537,,,,,neither,St. Pats football teams fans use the St. Patricks Cross aswell as it being the symbol for the IRU .
2538,,,,,neither,"Complete nonsense with your own plain as day motive lurking around in the background as usual . The article shows people are acting , action I support ."
2539,,,,,neither,I cant believe you 've lasted this long on this forum
2540,,,,,hate_speech,I heard about it is it about that white guy that killed that race traitor slut and her nig nog boyfriend ?
2541,,,,,neither,"not sure where I got them mate , they look like they 're from a magazine though coz they 're scans of photocopies it looks like. will find em and post them"
2542,,,,,neither,i'd like to know more about this debate .. is anyone welcome and where exactly is it being held ? good work by the way Mr.Roach. nice publicity .
2543,,,,,neither,88 .
2544,,,,,neither,It's no surprise Irish girls would do that .
2545,,,,,neither,It goes on in all of the White Western World .
2546,,,,,hate_speech,Most White Western Women have the racial sense of a cabbage .
2547,,,,,neither,Czynski ! 5122
2548,,,,,neither,"Take one of the scandinavian flags , and change the color from blue and yellow ( Sweden as an example ) and turn it to green and yellow. lol , it might be decent"
2549,,,,,neither,I almost fell off my chair with sadness and anger when I heard this from the vanguard site .
2550,,,,,neither,I have always thought Ireland to be the last all white country left .
2551,,,,,neither,16
2552,,,,,hate_speech,The thing that concerns me is that he got a house off the council thats a house that a Irish family should have got .
2553,,,,,neither,so is tom still rambling on about putting up machine guns in the city centre ? lol and that sites great al making all wn look like terrorists.so tell us all of some of the irms activism so far ?
2554,,,,,neither,She could just move to the Christian part of Nigeria where there is no Sharia law .
2555,,,,,neither,Its a huge country with each tribe and religion having their own province .
2556,,,,,neither,"Welcome to Stormfront Ireland Ive seen the numbers at the bottom of a lot of posts , its just some kind of moderators code ."
2557,,,,,neither,2056
2558,,,,,hate_speech,It's a shame that universities of Canada import black and brown people .
2559,,,,,hate_speech,Most of the time they are quiets sheep who want to intergrate but their children makes a new generations of thugs and prostitute .
2560,,,,,neither,"I visited your website and facebook page , and I like what I see ."
2561,,,,,neither,I shall contribute to this organization and support the XXV points .
2562,,,,,neither,Too bad you 're not in BC where I am .
2565,,,,,hate_speech,"I'm with you , Winnipeg has become a cesspool ."
2566,,,,,hate_speech,"I was beaten and robbed by two natives last year and over the last couple of years I have watched downtown turn into black , brown and yellow town. the food court at Portage place has started to remind me of the creature cantina from star wars ."
2567,,,,,neither,"This sounds like a sensible , well thought-out plan ."
2568,,,,,neither,"So I guess you 'll just have to go to the Canadian Prime Minister and ask him to declare you Emperor and step down , or something ?"
2569,,,,,neither,How is this worthy of a human rights hearing ?
2570,,,,,neither,"Should the guy who sang cop killer also have a trial , because he tragted a minority , cops ."
2571,,,,,hate_speech,I try and avoid shops owned by.or employing non.whites too .
2572,,,,,hate_speech,At least shop where a white is at the counter is my rule .
2573,,,,,neither,I think I read a comment like that on a video on YouTube and it made me chuckle .
2574,,,,,neither,Dumb dumb dumb .
2575,,,,,neither,It was probably written by a 15 year old .
2576,,,,,neither,"I cannot say that I am happy about supporting welfare mothers , but I can firmly say that I prefer supporting a welfare mother than a murder-clinic ."
2577,,,,,neither,Show me some progress in our struggle .
2578,,,,,neither,All I see is slippage as we fall farther and farther behind .
2579,,,,,neither,Nothing is changing for the better .
2580,,,,,hate_speech,Yeah but what you have to remember is that the jews are cunning and would probz slither their way out of it and justify their right to bare arms by use of the pro jew media and without a doubt the old holocaust excuse. our race would not be to blame most of us are brainwashed from a young age by T.V or schools its are job to wake them up comrade and defend them for we are fast becoming a minority in our own countries
2584,,,,,neither,I liked the majority of this video in the beginning but what was with the white guilt tripping part around an hour in of the video ?
2585,,,,,neither,I went to a talk about this at Georgetown University last week .
2586,,,,,neither,They were kind of up in arms but said most Scots are lefties .
2587,,,,,neither,Wonder what happened ?
2588,,,,,neither,The Prime of Miss Jean Brodie Trailer - YouTube
2589,,,,,neither,Woy's face was a picture at the end of that Uruguay game .
2590,,,,,neither,That will teach you for wearing a jew cap you great suck up !
2591,,,,,hate_speech,The attacks are coming from wankers who live in England maybe even born here and have little or no English ancestry and call themselves British .
2592,,,,,neither,But in The Bible there is no verses that prohibit inter-racial relationships or mixed race children is there ?
2593,,,,,neither,The Bible itself though is full of contradictions and you can mis-judge how things are meant .
2594,,,,,neither,There is no difference .
2595,,,,,neither,They just say this because it makes it sound better and know that people would be less likely to speak out against this .
2596,,,,,neither,Come to Bromsgrove and I 'll be more than happy to give you a tour of the West Midlands and the History of Heavy Metal We have the Malvern Hills one of Englands most beautiful places
2597,,,,,neither,"Keep em on the phone long enough , disagree a little ."
2598,,,,,hate_speech,Sooner or later the black one will say `` mother * * * * er '' or `` madick '' .
2599,,,,,neither,"The fact that she s casually announced this to the country functions as a make-shift IQ test right there . That s because of your reputation ; not your looks , love ."
2600,,,,,neither,I'm really sorry to say that due to the land we use being under water due to severe flooding we 've had to cancel the event .
2601,,,,,neither,We plan on holding a family camping/fun weekend in the summer once the weather has ( I hope ! ) improved .
2602,,,,,neither,"The thing is you may base your beliefs on claims and assertions , but nowadays Oxford University Professors tend to base their findings on many years of dedicated research ."
2603,,,,,neither,André Rieu - The Beautiful Blue Danube - YouTube
2604,,,,,neither,I found out this morning that junior school kids are n't allowed to sing Bar Bar Black sheep anymore because it 's racist and might offend the coloured kids so they are being told to sing Bar Bar randow sheep ! whats next we 'll not be allowed to sing god save the queen .
2605,,,,,neither,dont let it get you down brother your not on your own just bite your tongue and think of all those beutiful aryan women who think the way we do they are worth fighting for everything enoch powell said came true. hang in there brother
2606,,,,,neither,"I do get my Theirs , theres and they 're , mixed up sometimes but i was educated under Labours rule so i cant be completly to blame ."
2607,,,,,hate_speech,"These areas that you name are the preserve of the rich , you wont find a single white working class person living there.We might look down on blacks and pakis as scum and not want them living near us but the upper class feel exactly the same about us"
2608,,,,,neither,"Hello decided to start posting thought I , d say hi I 'm from midlands uk ."
2609,,,,,neither,Been on blood and honour and think radio 28 is great
2610,,,,,neither,Although we have slight variances in our position here I want to thank all the posters who have kept this thread civil .
2611,,,,,hate_speech,Having recently traveled to London I was disgusted by how non-white the city had become .
2612,,,,,neither,Is there anywhere in central London that is still 95 % + white ?
2613,,,,,neither,A mans game where every now and again all the players get together for a nice cuddle ?
2614,,,,,neither,"Agree with the rest , the recent transfer window says everything , hundreds of millions spent on a few players ."
2615,,,,,neither,Paying for sky sports is nearly as bad .
2616,,,,,neither,Why do people care about football ?
2617,,,,,hate_speech,"The chairman of the FA is one David Bernstein and , yes , he is a member of a certain tribe that delight in bringing diversity and the benefits of multi-culturalism and ' anti-racism ' , along with boatloads of third-worlders to Britain ."
2618,,,,,neither,I have been coming here for a while now as a guest and today i finally decided to join so here i am .
2619,,,,,neither,Anyway i look forward to posting my veiws here freely and also look forward to hearing all of yours to .
2620,,,,,neither,Kindest Regards JE .
2621,,,,,neither,"me, too but here in the Usa ."
2622,,,,,hate_speech,This land was founded by whites for whites and I prefer to punish the symptom of urban decay rather than just its zowg figurehead .
2623,,,,,neither,"Hi, my name is Chris and I want to thank the English nation for being the people most responsible for the creation of the USA and Canada ."
2624,,,,,neither,Boots Christmas advert on telly this evening .
2625,,,,,neither,"Black father , White mother , half breed teenage son ."
2628,,,,,neither,It is now unusual to see White families on telly .
2629,,,,,neither,Indeed!
2630,,,,,neither,If there are any of her family with any dignity left they should do the honourable thing and let the air out of her tyres .
2631,,,,,hate_speech,London nowadays is more dangerous for tourists than Zimbabwe Like the above poster says do n't go to London just go someplace else that is much better like Bath or Stratford Upon Avon ( Shakespeare Birthplace ) Londonistan is a craphole
2632,,,,,hate_speech,You Anglo-Americans are all welcome to England if you can perform the ' small ' task of riding London of it 's ethnics !
2633,,,,,hate_speech,Look at this cultural incongruity from Plymouth . VIDEO : Plymouth celebrates St George 's Day with music and dancing in the streets | This is Plymouth
2634,,,,,neither,Thank you brother .
2635,,,,,neither,The Brazilian president said that Blond hair Blue eyes Anglo-Saxons were the problem in the world .
2636,,,,,neither,Anti-White C * * T.
2637,,,,,neither,Well someone needs to set one up ASAP .
2638,,,,,neither,The sooner we acknowledge eachother in local areas and band together as a unit the sooner we become a strong white nation again .
2639,,,,,neither,"All new posters are under moderation to start with , but this is lifted fairly quickly ."
2640,,,,,neither,"Apart from that , only a small number of SF members are placed on moderation from time to time ."
2641,,,,,neither,I was sure that they were lying about the numbers and it 's must be the same in every country IMO .
2642,,,,,neither,There must be much less whites and much more blacks and Jews than what the statistics tell us .
2643,,,,,neither,"Hey all I 'll be visiting southwest england in a few weeks , pm if you 'd like to get together for a pint if your in the area ."
2644,,,,,neither,We are not fighting against white immigrants though many British are getting angry at them taking their jobs etc .
2645,,,,,neither,Many British do n't have the white nation mentality they see a foreigner is a foreigner is a foreigner .
2646,,,,,hate_speech,All we here an Stormfront Britain are saying is that MASS white immigration is detrimental to OUR nation for the reasons we have given time after time .
2647,,,,,neither,You think outside the sheep box in this movement then the usual suspects will hound you down untill you get back in line sad but true
2648,,,,,neither,Welcome to the forum .
2649,,,,,neither,It 's nice to see other people here in this section that lean towards the old Pagan beliefs too .
2650,,,,,neither,When I started learning about Hitler in school and I was possessed with trying to find out if I was Aryan .
2651,,,,,neither,So everytime I typed this forum appeared so I decided to join and learn more about the Aryan race and such further .
2652,,,,,hate_speech,Their English language means they are drowning in the MLK-esque crap coming out of America .
2653,,,,,neither,Same situation in Australia and Canada .
2654,,,,,neither,An American cancer has infected them all
2655,,,,,neither,Yes i have noticed this too where I live .
2656,,,,,hate_speech,There have been times when I have walked past some nigerian or skinny and they will cough with hand at their side without care for those around them .
2657,,,,,hate_speech,The indians and stanis will just spit all over the street .
2658,,,,,neither,It is disgusting .
2659,,,,,neither,Its brainwashing starts at school they dont understand they dont know any better .
2660,,,,,neither,As kids they watch leftie music shows kids tv shows etc .
2661,,,,,neither,Its a spiral in to decline ted heath ex tory pm said unemployment eats in to your soul .
2662,,,,,neither,It does i was unemployed for nearly 2 years in the 1980s it does drag you down .
2663,,,,,neither,I watched a few minutes of it the other night and felt sick .
2664,,,,,hate_speech,Disgusted that Birmingham has gone from the `` workshop of the world '' ( a city of a thousand trades ) to producing scumbags like this .
2665,,,,,neither,"i met my wife at the gun range which i was manager of at the time , a woman who shoots guns and hunts is a keeper for sure .."
2666,,,,,neither,"Children of Germany : more at Kinder Deutschlands | Alle Inhalte | DW.DE | 04.06.2014 Text says she is from Portugal , but looks racially mixed ."
2667,,,,,neither,"Somali Turkish Bosnian Colombian ( eye shape indicates Native American ancestry ) Albanian Moroccan Tunisian Thai Syrian refugees arrive Turkish group in Iserlohn , NRW First multireligious ( Christian-Jewish-Muslim ) religious building in Berlin http://www.pi-news.net/2014/06/berli ... gioese-kirche/"
2668,,,,,neither,I'm glad you realized it .
2669,,,,,neither,"On another hand , being born was also a pretty stupid thing that you did , I hope you will try to correct that as well ."
2670,,,,,neither,Same here .
2671,,,,,neither,I have no idea why they always have to fight each other when there are more important things they should do .
2672,,,,,neither,Correct.
2673,,,,,neither,And they really are quite a frustrated group .
2674,,,,,neither,From the changing of the guard to the changing of the negro .
2675,,,,,neither,LOL .
2676,,,,,neither,https://www.facebook.com/permalink.php?story_fbid=1493603624234498&id=14320 59370388924 Waterford Against Racism added 6 new photos .
2677,,,,,neither,"4 hrs · In a sinister development , Waterford Against Street Crime and Organised Begging has gained support from the Nationalist Movement - an ardently fascist , racist , anti-immigration , anti-multiculturalist , Islamophobic , homophobic organisation ."
2678,,,,,neither,NPD demonstration in Hamburg : 35 attendants .
2679,,,,,neither,Counter-demonstrators were said to be 800 .
2680,,,,,neither,800 Demonstranten gegen NPD-Kundgebung / Aus dem Land / Schleswig-Holstein - KN - Kieler Nachrichten Kiel had an Kurd PKK demostration today .
2681,,,,,neither,Paper claims 250 - I was walking pass there and would estimate 100-200 demonstrators .
2682,,,,,neither,"Some Communists , some Kurdish Nationalists and some German Anti-War people ."
2683,,,,,neither,Mostly they were playing loud kurdish music .
2684,,,,,neither,Article of our local newspaper is subject to a charge .
2685,,,,,neither,Google translate : Google Translate
